journal,publisher,society,article_type,unsolicited,abstract_format,abstract_words,body_words,references_max,figures_tables_max,structured_body,reporting_guideline,trial_registration,apc_usd,oa_model,reference_style,photoprotection_fit,submission_portal,guidelines_url,guidelines_last_checked,notes
"JAMA Dermatology",American Medical Association,n/a,Systematic Review,yes,structured,350,3000,75,5,yes,PRISMA,n/a,TBD,hybrid,AMA 11th ed,5,manuscripts.jamaderm.com,https://jamanetwork.com/journals/jamadermatology/pages/instructions-for-authors,2026-09-05,"Refs 50-75; figs+tables <=5. Narrative reviews are mostly invited; systematic review (without meta-analysis) accepted unsolicited."
"JAMA Dermatology",American Medical Association,n/a,Viewpoint,yes,none,0,1200,7,1,no,none,n/a,TBD,hybrid,AMA 11th ed,5,manuscripts.jamaderm.com,https://jamanetwork.com/journals/jamadermatology/pages/instructions-for-authors,2026-09-05,"1200 w max (1000 if including 1 small table/figure). <=7 refs. AI/LLM may NOT draft opinion pieces. Best fit for misinformation / regulation / policy pieces."
"JAMA Dermatology",American Medical Association,n/a,Research Letter,yes,none,0,800,10,2,yes (Intro/Methods/Results/Discussion),per underlying study type,required if applicable,TBD,hybrid,AMA 11th ed,5,manuscripts.jamaderm.com,https://jamanetwork.com/journals/jamadermatology/pages/instructions-for-authors,2026-09-05,800 w max; <=10 refs; <=2 small figs/tables. Concise novel findings.
"JAMA Dermatology",American Medical Association,n/a,Clinicopathological Challenge,yes,none,0,850,10,2,yes (Case/Question/Diagnosis/Discussion),none,n/a,TBD,hybrid,AMA 11th ed,5,manuscripts.jamaderm.com,https://jamanetwork.com/journals/jamadermatology/pages/instructions-for-authors,2026-09-05,850 w (250 case + 600 discussion); patient permission form required.
"British Journal of Dermatology",Oxford University Press,British Association of Dermatologists,Original Article,yes,structured,350,3000,TBD,6 panels/figure,yes,CONSORT / STROBE / TRIPOD / PRISMA / ARRIVE / CARE (EQUATOR),prospective registration MANDATORY or rejected,TBD,hybrid,Vancouver (superscript),5,ScholarOne (mc.manuscriptcentral.com/bjd),https://academic.oup.com/bjd/pages/general-instructions,2026-09-05,"3000 w (4000 qualitative). Plain Language Summary + 'What's known / What this adds' required. ORCID required from Aug 2026; AI disclosure from Aug 2025."
"British Journal of Dermatology",Oxford University Press,British Association of Dermatologists,Review,check with editor,unstructured,350,3000,TBD,TBD,no,none (narrative); PRISMA/PROSPERO if systematic,n/a,TBD,hybrid,Vancouver (superscript),5,ScholarOne (mc.manuscriptcentral.com/bjd),https://academic.oup.com/bjd/pages/general-instructions,2026-09-05,"Narrative reviews 'solicited or submitted'. Systematic reviews (Evidence-Based Dermatology): 3000 w, structured, PROSPERO registration compulsory."
"British Journal of Dermatology",Oxford University Press,British Association of Dermatologists,Research Letter,yes,none,0,750,8,"2 small figs (<=4 panels ea) OR 1 table + 1 fig",no,appropriate EQUATOR guideline by design,as applicable,TBD,hybrid,Vancouver (superscript),5,ScholarOne (mc.manuscriptcentral.com/bjd),https://academic.oup.com/bjd/pages/general-instructions,2026-09-05,"750 w max; <=8 refs; no subheadings. BJD calls this 'the most prestigious form of BJD correspondence'. Image Correspondence = <=100 w caption, <=2 refs, <=3 panels."
"Journal of Investigative Dermatology",Elsevier,Society for Investigative Dermatology,Original Article,yes,structured,TBD,TBD,TBD,TBD,yes,STROBE / CONSORT / ARRIVE (animal),required for trials,TBD,hybrid,Vancouver (superscript) - verify,4,Editorial Manager,https://www.jidonline.org/content/authorinfo,,Mechanistic photobiology / UV DNA damage / immunology.
"Journal of Investigative Dermatology",Elsevier,Society for Investigative Dermatology,Letter to the Editor,yes,none,TBD,TBD,TBD,TBD,no,per underlying study type,as applicable,TBD,hybrid,Vancouver (superscript) - verify,4,Editorial Manager,https://www.jidonline.org/content/authorinfo,,
"JID Innovations",Elsevier,Society for Investigative Dermatology,Original Article,yes,structured,TBD,TBD,TBD,TBD,yes,STROBE / CONSORT,required for trials,TBD,gold OA,Vancouver (superscript) - verify,3,Editorial Manager,https://www.jidinnovations.org/content/authorinfo,,Open-access; methods and translational work.
"Journal of the European Academy of Dermatology and Venereology",Wiley,European Academy of Dermatology and Venereology,Original Article,yes,structured,TBD,TBD,TBD,TBD,yes (Intro/Materials & Methods/Results/Discussion),STROBE / CONSORT,required for trials,TBD,hybrid,Vancouver (superscript) - verify,4,ScholarOne Manuscripts,https://onlinelibrary.wiley.com/page/journal/14683083/homepage/forauthors.html,,Large European readership. Verify word/reference caps.
"Journal of the European Academy of Dermatology and Venereology",Wiley,European Academy of Dermatology and Venereology,Review,check with editor,unstructured,TBD,TBD,TBD,TBD,no,PRISMA if systematic,n/a,TBD,hybrid,Vancouver (superscript) - verify,4,ScholarOne Manuscripts,https://onlinelibrary.wiley.com/page/journal/14683083/homepage/forauthors.html,,
"Journal of the European Academy of Dermatology and Venereology",Wiley,European Academy of Dermatology and Venereology,Letter to the Editor,yes,none,TBD,TBD,TBD,TBD,no,per underlying study type,as applicable,TBD,hybrid,Vancouver (superscript) - verify,4,ScholarOne Manuscripts,https://onlinelibrary.wiley.com/page/journal/14683083/homepage/forauthors.html,,One continuous section, no subheadings. Concise clinical/translational studies or commentary on JEADV articles.
"International Journal of Dermatology",Wiley,International Society of Dermatology,Original Article,yes,structured,TBD,3000,TBD,TBD,yes,STROBE / CONSORT,required for trials,TBD,hybrid,Vancouver (superscript) - verify,4,ScholarOne Manuscripts,https://onlinelibrary.wiley.com/page/journal/13654632/homepage/forauthors.html,,~3000 w original cap (verify). Global scope; skin-of-color photoprotection welcome.
"International Journal of Dermatology",Wiley,International Society of Dermatology,Review,check with editor,unstructured,TBD,TBD,TBD,TBD,no,PRISMA if systematic,n/a,TBD,hybrid,Vancouver (superscript) - verify,4,ScholarOne Manuscripts,https://onlinelibrary.wiley.com/page/journal/13654632/homepage/forauthors.html,,
"International Journal of Dermatology",Wiley,International Society of Dermatology,Report / Case,yes,unstructured,TBD,TBD,TBD,TBD,no,CARE,n/a,TBD,hybrid,Vancouver (superscript) - verify,4,ScholarOne Manuscripts,https://onlinelibrary.wiley.com/page/journal/13654632/homepage/forauthors.html,,
"Dermatology and Therapy",Adis / Springer Nature,n/a,Original Research,yes,structured,TBD,TBD,TBD,TBD,yes,STROBE / CONSORT,required for trials,7675,gold OA (CC-BY-NC),Vancouver (superscript) - verify,4,Editorial Manager,https://link.springer.com/journal/13555/submission-guidelines,2026-09-05,"MANDATORY Rapid Service Fee ~$7675 / EUR 5950 / GBP 5120 on acceptance. ~2-week review, 3-4 wk to online. Cost may outweigh speed for you."
"Dermatology and Therapy",Adis / Springer Nature,n/a,Review,yes,structured,TBD,TBD,TBD,TBD,no,PRISMA if systematic,n/a,7675,gold OA (CC-BY-NC),Vancouver (superscript) - verify,4,Editorial Manager,https://link.springer.com/journal/13555/submission-guidelines,2026-09-05,Unsolicited narrative reviews accepted - but same ~$7675 mandatory fee applies.
"Dermatology and Therapy",Adis / Springer Nature,n/a,Brief Report / Short Communication,yes,structured,TBD,TBD,TBD,TBD,no,per underlying study type,as applicable,7675,gold OA (CC-BY-NC),Vancouver (superscript) - verify,4,Editorial Manager,https://link.springer.com/journal/13555/submission-guidelines,2026-09-05,Also publishes case reports/series and trial protocols. Same mandatory fee.
"Journal of Drugs in Dermatology",SanovaWorks,n/a,Original Article,yes,structured,TBD,TBD,TBD,TBD,yes,STROBE / CONSORT,required for trials,TBD,hybrid,AMA,4,ScholarOne Manuscripts,https://jddonline.com/author_guidelines,,Practical / therapeutics focus; formulation and product-comparison studies.
"Journal of Drugs in Dermatology",SanovaWorks,n/a,Review,yes,unstructured,TBD,TBD,TBD,TBD,no,PRISMA if systematic,n/a,TBD,hybrid,AMA,4,ScholarOne Manuscripts,https://jddonline.com/author_guidelines,,
"Journal of Drugs in Dermatology",SanovaWorks,n/a,Case Report,yes,unstructured,TBD,TBD,TBD,TBD,no,CARE,n/a,TBD,hybrid,AMA,4,ScholarOne Manuscripts,https://jddonline.com/author_guidelines,,
"Dermatologic Therapy",Wiley,n/a,Original Article,yes,structured,TBD,TBD,TBD,TBD,yes,STROBE / CONSORT,required for trials,TBD,hybrid,Vancouver (superscript) - verify,3,ScholarOne Manuscripts,https://onlinelibrary.wiley.com/journal/15298019,,Check current indexing status before submitting.
"Dermatologic Therapy",Wiley,n/a,Review,yes,unstructured,TBD,TBD,TBD,TBD,no,PRISMA if systematic,n/a,TBD,hybrid,Vancouver (superscript) - verify,3,ScholarOne Manuscripts,https://onlinelibrary.wiley.com/journal/15298019,,
"Journal of Cosmetic Dermatology",Wiley,n/a,Original Article,yes,structured,TBD,TBD,TBD,TBD,yes,STROBE / CONSORT,required for trials,TBD,hybrid,Vancouver (superscript) - verify,4,ScholarOne Manuscripts,https://onlinelibrary.wiley.com/page/journal/14732165/homepage/forauthors.html,,Cosmetic elegance, tinted / VL sunscreen, sensory and adherence studies.
"Journal of Cosmetic Dermatology",Wiley,n/a,Review,yes,unstructured,TBD,TBD,TBD,TBD,no,PRISMA if systematic,n/a,TBD,hybrid,Vancouver (superscript) - verify,4,ScholarOne Manuscripts,https://onlinelibrary.wiley.com/page/journal/14732165/homepage/forauthors.html,,
"Clinical, Cosmetic and Investigational Dermatology",Dove Medical Press / Taylor & Francis,n/a,Original Research,yes,structured,TBD,TBD,TBD,TBD,yes,STROBE / CONSORT,required for trials,TBD,gold OA,Vancouver (superscript) - verify,3,editorial system (Dove),https://www.dovepress.com/author_guidelines.php?journal_id=81,,Open access; confirm indexing and fit before submitting.
"Clinical, Cosmetic and Investigational Dermatology",Dove Medical Press / Taylor & Francis,n/a,Review,yes,unstructured,TBD,TBD,TBD,TBD,no,PRISMA if systematic,n/a,TBD,gold OA,Vancouver (superscript) - verify,3,editorial system (Dove),https://www.dovepress.com/author_guidelines.php?journal_id=81,,
"Clinical, Cosmetic and Investigational Dermatology",Dove Medical Press / Taylor & Francis,n/a,Case Report,yes,unstructured,TBD,TBD,TBD,TBD,no,CARE,n/a,TBD,gold OA,Vancouver (superscript) - verify,3,editorial system (Dove),https://www.dovepress.com/author_guidelines.php?journal_id=81,,
"Archives of Dermatological Research",Springer Nature,n/a,Original Paper,yes,structured,TBD,TBD,TBD,TBD,yes,STROBE / CONSORT / ARRIVE,required for trials,TBD,hybrid,Vancouver (superscript) - verify,3,Editorial Manager,https://link.springer.com/journal/403/submission-guidelines,,Mix of clinical and experimental; mechanistic photoprotection.
"Archives of Dermatological Research",Springer Nature,n/a,Review,yes,unstructured,TBD,TBD,TBD,TBD,no,PRISMA if systematic,n/a,TBD,hybrid,Vancouver (superscript) - verify,3,Editorial Manager,https://link.springer.com/journal/403/submission-guidelines,,
"Archives of Dermatological Research",Springer Nature,n/a,Concise Communication,yes,structured,TBD,TBD,TBD,TBD,no,per underlying study type,as applicable,TBD,hybrid,Vancouver (superscript) - verify,3,Editorial Manager,https://link.springer.com/journal/403/submission-guidelines,,
"Pediatric Dermatology",Wiley,Society for Pediatric Dermatology,Original Article,yes,structured,TBD,TBD,TBD,TBD,yes,STROBE / CONSORT,required for trials,TBD,hybrid,Vancouver (superscript) - verify,3,ScholarOne Manuscripts,https://onlinelibrary.wiley.com/page/journal/15251470/homepage/forauthors.html,,Photoprotection counseling, infant sun safety, photodermatoses in children.
"Pediatric Dermatology",Wiley,Society for Pediatric Dermatology,Brief Report / Case,yes,unstructured,TBD,TBD,TBD,TBD,no,CARE,n/a,TBD,hybrid,Vancouver (superscript) - verify,3,ScholarOne Manuscripts,https://onlinelibrary.wiley.com/page/journal/15251470/homepage/forauthors.html,,
"Contact Dermatitis",Wiley,European Society of Contact Dermatitis,Original Article,yes,structured,TBD,TBD,TBD,TBD,yes,STROBE,required for trials,TBD,hybrid,Vancouver (superscript) - verify,3,ScholarOne Manuscripts,https://onlinelibrary.wiley.com/page/journal/16000536/homepage/forauthors.html,,Photopatch testing, photoallergic contact dermatitis to UV filters.
"Contact Dermatitis",Wiley,European Society of Contact Dermatitis,Case Report / Letter,yes,unstructured,TBD,TBD,TBD,TBD,no,CARE,n/a,TBD,hybrid,Vancouver (superscript) - verify,3,ScholarOne Manuscripts,https://onlinelibrary.wiley.com/page/journal/16000536/homepage/forauthors.html,,
"Skin Research and Technology",Wiley,International Society for Biophysics and Imaging of the Skin,Original Article,yes,structured,TBD,TBD,TBD,TBD,yes,STROBE / CONSORT,required for trials,TBD,hybrid,Vancouver (superscript) - verify,3,ScholarOne Manuscripts,https://onlinelibrary.wiley.com/page/journal/16000846/homepage/forauthors.html,,Bioengineering endpoints; in vitro SPF, colorimetry, imaging of UV effects.
"Skin Research and Technology",Wiley,International Society for Biophysics and Imaging of the Skin,Review,yes,unstructured,TBD,TBD,TBD,TBD,no,PRISMA if systematic,n/a,TBD,hybrid,Vancouver (superscript) - verify,3,ScholarOne Manuscripts,https://onlinelibrary.wiley.com/page/journal/16000846/homepage/forauthors.html,,
"Photochemical & Photobiological Sciences",Springer Nature,European Photochemistry Assoc / European Society for Photobiology,Original Article,yes,unstructured,TBD,TBD,TBD,TBD,no,per underlying study type,as applicable,TBD,hybrid,Vancouver (superscript) - verify,3,Editorial Manager,https://link.springer.com/journal/43630/submission-guidelines,,Photophysics / photochemistry of filters; action spectra; photostability.
"Photochemical & Photobiological Sciences",Springer Nature,European Photochemistry Assoc / European Society for Photobiology,Review / Perspective,yes,unstructured,TBD,TBD,TBD,TBD,no,PRISMA if systematic,n/a,TBD,hybrid,Vancouver (superscript) - verify,3,Editorial Manager,https://link.springer.com/journal/43630/submission-guidelines,,
"Journal of Photochemistry and Photobiology B: Biology",Elsevier,n/a,Research Paper,yes,unstructured,TBD,TBD,TBD,TBD,no,per underlying study type,as applicable,TBD,hybrid,Vancouver (superscript) - verify,3,Editorial Manager,https://www.sciencedirect.com/journal/journal-of-photochemistry-and-photobiology-b-biology/publish/guide-for-authors,,Biological effects of UV / photoprotective agents; mechanistic.
"Journal of Photochemistry and Photobiology B: Biology",Elsevier,n/a,Review,yes,unstructured,TBD,TBD,TBD,TBD,no,PRISMA if systematic,n/a,TBD,hybrid,Vancouver (superscript) - verify,3,Editorial Manager,https://www.sciencedirect.com/journal/journal-of-photochemistry-and-photobiology-b-biology/publish/guide-for-authors,,
"Australasian Journal of Dermatology",Wiley,Australasian College of Dermatologists,Original Article,yes,structured,TBD,TBD,TBD,TBD,yes,STROBE / CONSORT,required for trials,TBD,hybrid,Vancouver (superscript) - verify,4,ScholarOne Manuscripts,https://onlinelibrary.wiley.com/page/journal/14400960/homepage/forauthors.html,,High-UV region; sun protection policy, skin cancer prevention, behavior.
"Australasian Journal of Dermatology",Wiley,Australasian College of Dermatologists,Review,check with editor,unstructured,TBD,TBD,TBD,TBD,no,PRISMA if systematic,n/a,TBD,hybrid,Vancouver (superscript) - verify,4,ScholarOne Manuscripts,https://onlinelibrary.wiley.com/page/journal/14400960/homepage/forauthors.html,,
"Australasian Journal of Dermatology",Wiley,Australasian College of Dermatologists,Letter / Case,yes,unstructured,TBD,TBD,TBD,TBD,no,CARE,n/a,TBD,hybrid,Vancouver (superscript) - verify,4,ScholarOne Manuscripts,https://onlinelibrary.wiley.com/page/journal/14400960/homepage/forauthors.html,,
"Cutis",MJH Life Sciences,n/a,Original Article,yes,structured,TBD,TBD,TBD,TBD,yes,STROBE / CONSORT,required for trials,TBD,subscription,AMA,3,editorial system (Cutis),https://www.mdedge.com/dermatology/page/cutis-author-guidelines,,US practice-oriented readership; practical photoprotection and product topics.
"Cutis",MJH Life Sciences,n/a,Review,yes,unstructured,TBD,TBD,TBD,TBD,no,PRISMA if systematic,n/a,TBD,subscription,AMA,3,editorial system (Cutis),https://www.mdedge.com/dermatology/page/cutis-author-guidelines,,
"Cutis",MJH Life Sciences,n/a,Photo Challenge / Case,yes,unstructured,TBD,TBD,TBD,TBD,no,CARE,n/a,TBD,subscription,AMA,3,editorial system (Cutis),https://www.mdedge.com/dermatology/page/cutis-author-guidelines,,
"Photodiagnosis and Photodynamic Therapy",Elsevier,International Photodynamic Association,Original Article,yes,structured,TBD,TBD,TBD,TBD,yes,per underlying study type,required for trials,TBD,hybrid,Vancouver (superscript) - verify,2,Editorial Manager,https://www.sciencedirect.com/journal/photodiagnosis-and-photodynamic-therapy/publish/guide-for-authors,,Peripheral fit; relevant for PDT-adjacent photoprotection or device work.
